ID,DESCRIPTION,IMAGE
cc-12,"Hydraulic-Driven Reactor provides 1.5 gpm and 3,500 psi.",info/Reactor_HXP2.jpg
cc-13,"Hydraulic-Driven Reactor provides 2.8 gpm and 3,500 psi.",info/Reactor_HXP3.jpg
cc-2,"Electric-Driven Reactor provides 20 lb/min output and 2,000 psi. Great choice for residential foam applications.",info/ReactorE_20.jpg
cc-3,"Electric-Driven Reactor provides 30 lb/min output and 2,000 psi. E30’s added output is noticeable on larger jobs.",info/ReactorE_30.jpg
cc-4,"Electric-Driven Reactor provides 30 lb/min output and 2,000 psi. E30’s added output is noticeable on larger jobs. Larger heaters can be needed in cold environments or coating applications.",info/ReactorE_30.jpg
cc-5,"Hydraulic-Driven Reactor provides 22 lb/min output and 2,000 psi.",info/Reactor_H25.jpg
cc-6,"Hydraulic-Driven Reactor provides 22 lb/min output and 2,000 psi. Larger heaters can be needed in cold environments or coating applications.",info/Reactor_H25.jpg
cc-7,"Hydraulic-Driven Reactor provides 45 lb/min output and 2,000 psi. Single phase is not ideal for mobile trailers.",info/Reactor_H40_Right.jpg
cc-8,"Hydraulic-Driven Reactor provides 45 lb/min output and 2,000 psi. Typically used in roofing and other high flow applications.",info/Reactor_H40_Right.jpg
cc-9,"Hydraulic-Driven Reactor provides 45 lb/min output and 2,000 psi. Typically used in roofing and other high flow applications. Larger heaters can be needed in cold environments or coating applications.",info/Reactor_H40_Right.jpg
d,"Graco heated hose is sold in 50 foot sections. Also included is the 10 ft whip hose, and fluid temperature sensor. The maximum hose length you can use depends on what Reactor you select.",info/P1070123.jpg
d-0,"Graco distributors can order the trailer with only 50’ of heated hose, which is installed in the trailer to run from the Reactor to the hose wrap.",info/Heated_Hose.jpg
d-1,"Graco distributors can order the trailer with only 50’ of heated hose, which is installed in the trailer to run from the Reactor to the hose wrap.",info/Heated_Hose.jpg
d-10,"2,000 psi rated heated hose with scuff jacket and DIN cable.",info/Heated_Hose.jpg
d-11,"3,500 psi rated heated hose with scuff jacket and DIN cable.",info/Heated_Hose.jpg
d-12,"2,000 psi rated heated hose with scuff jacket and DIN cable.",info/Heated_Hose.jpg
d-13,"3,500 psi rated heated hose with scuff jacket and DIN cable.",info/Heated_Hose.jpg
d-14,"2,000 psi rated heated hose with scuff jacket and DIN cable.",info/Heated_Hose.jpg
d-15,"3,500 psi rated heated hose with scuff jacket and DIN cable.",info/Heated_Hose.jpg
d-2,"2,000 psi rated heated hose with scuff jacket and DIN cable",info/Heated_Hose.jpg
d-3,"3,500 psi rated heated hose with scuff jacket and DIN cable.",info/Heated_Hose.jpg
d-4,"2,000 psi rated heated hose with scuff jacket and DIN cable.",info/Heated_Hose.jpg
d-5,"3,500 psi rated heated hose with scuff jacket and DIN cable.",info/Heated_Hose.jpg
d-6,"2,000 psi rated heated hose with scuff jacket and DIN cable.",info/Heated_Hose.jpg
d-7,"3,500 psi rated heated hose with scuff jacket and DIN cable.",info/Heated_Hose.jpg
d-8,"2,000 psi rated heated hose with scuff jacket and DIN cable.",info/Heated_Hose.jpg
d-9,"3,500 psi rated heated hose with scuff jacket and DIN cable.",info/Heated_Hose.jpg
ee,"Strongly recommend purchasing two identical spray guns. Choose which gun is best for you, but then buy TWO. When spraying products that set-up in seconds have a second gun is a must. It prevents down time, reduces wear and tear, and makes trouble shooting equipment much easier.",info/FusionCS_Gopher136.jpg
ee-0,No additional information available for this selection at this time.,
ee-1,"The Graco Fusion Air Purge Gun is the most common 2k gun sold today. Durable, easy to use, and quick to disassemble and repair have made this a good choice for any foam or coatings contractor. Available in either round or flat patterns.",info/11487.jpg
ee-2,"The Graco Fusion Air Purge Gun is the most common 2k gun sold today. Durable, easy to use, and quick to disassemble and repair have made this a good choice for any foam or coatings contractor. Available in either round or flat patterns.",info/Double_Fusion_Guns_rt.jpg
ee-3,The Graco Clear Shot Gun is the newest gun on the market and features new Clear Shot technology that keeps the mix chamber cleaner. Available in either round or flat patterns.,info/Graco_FusionCS_001.jpg
ee-4,The Graco Clear Shot Gun is the newest gun on the market and features new Clear Shot technology that keeps the mix chamber cleaner. Available in either round or flat patterns.,info/FusionCS_Gopher_093.jpg
ee-5,The Graco Mechanical Purge Gun improves mixing and is a common choice for difficult to mix coatings. Available in either round or flat patterns.,info/FusionMP_app.jpg
ee-6,The Graco Mechanical Purge Gun improves mixing and is a common choice for difficult to mix coatings. Available in either round or flat patterns.,info/FusionMP_app.jpg
ee-7,The Graco Probler P2 came from GlasCraft and is a good air purge gun for both foam and coatings. Available in either round or flat patterns.,info/P2_Picture.jpg
ee-8,The Graco Probler P2 came from GlasCraft and is a good air purge gun for both foam and coatings. Available in either round or flat patterns.,info/P2_Picture.jpg
f,Mobile systems require feed pumps to push material from 55 gallon drums to the Reactor proportioner. Stick pumps such as the Graco T:1 and T2 have become the most popular choice for foam and coating contractors.,info/P1070133.jpg
f-0,Fluid and air pluming are installed for quick assembly. Extra charge will apply for wall mount brackets if you are using Husky 1040 pumps.,
f-1,Graco T:1 Stick pumps are ideal for foam or coating applications with lower flow rate Reactors.,info/T1x2_pumps.jpg
f-2,Graco T:2 Stick pumps are ideal for foam or coating applications with higher flow rate Reactors.,info/15258.jpg
f-3,Graco diaphragm Husky pumps mount on wall and are common for 1/2 lb foams that do not use 245fa blowing agents.,info/Husky_1050.jpg
f-4,Graco Triton pumps are common in lower viscosity coatings.,info/triton.jpg
gg,Circulation kits are vital to any mobile spray rig. The manifold circulation kit reduces material waste and helps keep your rig clean and safe. The heated hose circulation kit is extremely important if your rig will sit idle for periods of two weeks or more.,info/P1070087.jpg
gg-0,No circulation kit is installed. Graco’s stock tubing runs from circulation manifold to the floor. Customer supplies waste pails.,
gg-1,"Manifold circulation kit includes return hoses from manifold back to 55 gallon drum, sst return tubes, and desiccant dryers.",info/P1070068.jpg
gg-2,"Addition of the heated hose circulation kit allows easy circulation of material throughout heated hose - reducing isocyanate crystallization. Product should be circulated after being static in lines for two weeks. Heated hose circulation kit also allows for faster heating of hoses when using coatings, or foam without 245fa blowing agent.",info/P1070104.jpg
h,Includes regulator and air plumbing. Agitators are not required for most 1.8 lb and heavier foams. They are common when using 1/2 lb foam or most coatings. Check with your material supplier if an agitator is required for the resin.,info/Twistork_Agitator_in_Barrel_app.jpg
h-0,No additional information available for this selection at this time.,
h-1,Graco Twistork agitator is mounted directly in 2 in bung opening.,info/Twistork_Agitator.jpg
h-2,Graco Twistork agitator is mounted directly in 2 in bung opening.,info/Twistork_Agitator_in_Barrel_app.jpg
ii,"CJ Spray configured rigs use generators and will only make shore power rigs after personal consulation. Generators increase production, provide clean power to Reactors, and reduce personal interaction with dangerous electrical power. The right generator depends on the power required by the equipment in the spray rig. There are two major electrical components in each rig: the Reactor and the air compressor. <br /><br />Reactors have electric motors and very large electric heaters that can draw a lot of power. Electric air compressors also draw a lot of power, especially at start up. We set all of our compressors to run continuously so they do not turn on or off, which provides cleaner and more consistent power to the Reactor. The generator should still be sized to handle the initiall start-up of the compressor. There are also other electrical demands inside the trailer that add up such as compressed air driers, heater, lights, grinders, and air conditioners. To properly size the generator add up the electrical requirements and provide a 25% cushion. In most applications the E20 Reactor requires a 20 kW generator and everything larger.",info/40_kW_Gen.jpg
ii-1,"Gas operated generators are low cost, but do not provide long lasting durability. They also have low power output making them limited to E-20 and A-20 Reactors. The gas generator is only available in the 16 ft trailer and is mounted in the “dog house” on our EZ slide system.",info/17_5_kw_gas_generator.jpg
ii-2,"Small diesel powered generator is powerful, durable, and compact; making it capable of fitting in the “dog house” of the 16 ft trailer. Upgrading from the gas generator to this diesel will add years of trouble free performance and reliability.",info/20_kW_Diesel.jpg
ii-3,John Deere powered diesel generator provides enough power for any Graco Reactor. Has optional screw compressor (see air compressor section next) that mounts directly to generator saving space and power draw.,info/40_kW_Gen.jpg
j,"Like sizing a generator, the right compressor will be dependent on the air requirement (scfm) of the tools you use. Mobile spray rigs use several pieces of air operated equipment, all of which put a demand on the air compressor. The drum pumps, spray guns, agitators (optional), and fresh air supply systems (optional) all require compressed air. Other tools in your trade may also require compressed air. For example scarfers used in the foam industry can require up to 30 scfm of air. Another consideration is space and weight. <br /><br />CJ Spray offers two types of compressors: electric driven piston compressors and a belt driven screw compressor mounted on the generator. Electric compressors are cost effective and are available on vertical or horizontal mounted tanks. Verticle tanks are used in our 16 ft, 20 ft, and box truck models, and the horizontal tanks are mounted above the cab over of our gooseneck trailers. Our screw compressor option is mounted on our 40 kW generator and runs directly off the diesel engine, so there is no electrical requirement. In most applications a tank is not required saving value weight and space making the screw compressor a great option for 20 ft bumper pull trailers.",info/PC030198.jpg
j-1,18.1 scfm @ 120 psi. 60 Gallon vertical tank. 110 Volt automatic tank drain included.,info/electric_compressor_c_aire.jpg
j-2,18.1 scfm @ 120 psi. 60 Gallon horizontal tank is mounted remotely in cab-over. 110 Volt automatic tank drain included.,info/Sprayer_Pics_023.jpg
j-3,17.5 scfm @ 120 psi. 60 Gallon vertical tank. 110 Volt automatic tank drain included.,info/electric_compressor_c_aire.jpg
j-4,17.5 scfm @ 120 psi. 60 Gallon horizontal tank is mounted remotely in cab-over. 110 Volt automatic tank drain included.,info/Sprayer_Pics_023.jpg
j-5,23.5 scfm @ 120 psi. 60 Gallon vertical tank. 110 Volt automatic tank drain included.,info/electric_compressor_c_aire.jpg
j-6,23.5 scfm @ 120 psi. 60 Gallon horizontal tank is mounted remotely in cab-over. 110 Volt automatic tank drain included.,info/Sprayer_Pics_023.jpg
j-7,"40 scfm @ 120 psi. Mounted directly to generator running off crankshaft of engine, so it pulls no electrical power from generator. No air tank is required due to high output. Screw compressor saves room and reduces weight.",info/DSC_0023.jpg
kk,"The moisture sensitivity of isocyanate makes clean, dry air a priority for any mobile spray rig.",info/electric_refridg_air_dryer.jpg
kk-1,"Moisture trap, coalescer, and desiccant beads remove moisture and oil from compressed air.",info/dessicant_air_dryer.jpg
kk-2,110 Volt electric air dryer removes moisture from compressed air without the need of disposable desiccant beads.,info/Sharpe_Dryaire.jpg
kk-3,110 Volt electric air dryer removes moisture from compressed air without the need of disposable desiccant beads.,info/Sharpe_Dryaire.jpg
kk-4,110 Volt electric air dryer removes moisture from compressed air without the need of disposable desiccant beads.,info/electric_refridg_air_dryer.jpg
l,Respiratory protection is vital while spraying. Fresh air breathing systems offer additional protection compared to cartridge respirators. Fresh air supplied systems blow clean air out around cracks between face and facemask. When using standard cartridge respirators you are breathing in from around those cracks.,info/P4150091.jpg
l-0,No additional information available for this selection at this time.,
l-1,Mounted on interior wall of trailer creates OSHA approved breathable air from air compressor mounted in trailer. Includes carbon monoxide detector. 300 feet of Grade D breathable air line and 3M full face mask with back mounted “Y” adapter is included. Hose wrap is mounted on barn door. Has capability of running several masks.,info/martech_fresh_air_supply.jpg
l-2,110 Volt portable ambient air compressor comes with 100 feet of hose and 3M full face mask with back mounted “Y” adapter. Can run two masks off this compressor.,info/Allegro.jpg
mm,Keep material and work space warm with heaters.,info/wall_heater.jpg
mm-0,No additional information available for this selection at this time.,
mm-1,Runs off generator or shore power hook-up. Mounts flush in dividing wall. Includes thermostat.,info/Electric_Heater_110.jpg
mm-2,"More BTUs, but runs off generator only. Mounts flush in dividing wall. Includes thermostat.",info/Wall_Heater_240.jpg
mm-3,"Can run 24 hours a day, 7 days a week. Runs on diesel fuel and 12 volt dc power. Burns only one gallon of fuel per 16 hours, and can run for 48 hours without charge. Battery will charge off generator or shore power. Great option for contractors that travel long distances, do a lot of commercial/industrial work, or do not have a heated facility to park in.",info/airtronic_heater.jpg
n,Air conditioners are not just for your comfort. 245fa blowing agent found in many foams will easily froth when hot. Installing an air conditioner in your mobile rig can keep your material cool and help prevent frothing which leads to equipment problems and lower yields from your SPF. If you are a insulation contractor in hot southern climates an air conditioner is a must.,info/air_conditioner.jpg
n-0,No additional information available for this selection at this time.,
n-1,Roof mounted air conditioner runs on 110 Volt power and can provide some heat in cool weather.,info/air_conditioner.jpg
